"Humcfs_id","chromosome_number","name","chrlocation","cytoband","type","frequency","gene_ensembl_id","gene_name","havana_transcript_id","gene_location","gene_orientation","exon_id","exon_number","gene_description","disease_description","miRNA_location","miRNA_strand","miRNA_id","miRNA_name","miRNA_derived","pmid"
"11","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000162552","WNT4","OTTHUMT00000008089","22127038-22129851","-","ENSE00001664860, ENSE00003517608","2","wingless-type MMTV integration site family, member 4","Squamous cell carcinoma,Virilism,Ovarian Hyperstimulation Syndrome,Sex Reversal, Female, With Dysgenesis Of Kidneys, Adrenals, And Lungs,Pituitary Neoplasms,Mullerian aplasia,Hematopoietic Neoplasms,Female Urogenital Diseases,Hyperandrogenism,Premature Menopause,Malignant neoplasm of breast,Fibrosis,Breast Carcinoma,Anxiety neurosis (finding),Renal fibrosis,ovarian neoplasm,Rokitansky Kuster Hauser syndrome,Anxiety state,Dwarfism,Endometrial Carcinoma,Mullerian Aplasia and Hyperandrogenism,Ovarian Failure, Premature,Ovarian Carcinoma,Prostatic Neoplasms,Epithelial ovarian cancer,Kidney Failure,Acute kidney injury,Chronic Obstructive Airway Disease,Carcinogenesis,Kidney Diseases,leukemia,Disorders of Sex Development,Adrenal Cortical Adenoma,granulosa cell tumor,Obesity,Endometriosis,Fibroadenoma,Kidney Failure, Chronic,Ulcerative Colitis,Pneumonia,Malignant neoplasm of ovary,Dupuytren Contracture,Primary physiologic amenorrhea","1169005-1169087","+","MI0001641","hsa-mir-429","NA","1322577"
"12","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000142675","CNKSR1","OTTHUMT00000019856","26177403-26189886","+","ENSE00002189456, ENSE00003533488, ENSE00003658481, ENSE00003568083, ENSE00003581065, ENSE00003530096, ENSE00003628683, ENSE00003641966, ENSE00003566562, ENSE00003472888, ENSE00003466672, ENSE000035578","21","connector enhancer of kinase suppressor of Ras 1","Seizures,Convulsive Seizures,Papillary thyroid carcinoma,Epithelioma,Congenital Hypothyroidism,Cervix carcinoma,Epilepsy,Malignant neoplasm of ovary,Intellectual Disability,Hypothyroidism,Breast Carcinoma,Endemic Cretinism,Malignant tumor of cervix,Ovarian Carcinoma,Malignant neoplasm of breast,Invasive breast carcinoma,Epithelial ovarian cancer","5862711-5862732","-","MIMAT0019778","hsa-miR-4689","MI0017322","1322577"
"13","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000205090","TMEM240","OTTHUMT00000479294","1539056-1540350","-","ENSE00003759093, ENSE00003759366","2","transmembrane protein 240","SPINOCEREBELLAR ATAXIA 21,Mental Retardation,Impaired cognition","24919390-24919411","-","MIMAT0027363","hsa-miR-6731-5p","MI0022576","1322577"
"14","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000177674","AGTRAP","OTTHUMT00000006336","11736147-11750771","+","ENSE00001562294, ENSE00003499860, ENSE00003637198, ENSE00003534171, ENSE00001927341","5","angiotensin II receptor-associated protein","Cardiomegaly,Hypertensive disease,Obesity, Visceral,Metabolic Diseases","23057858-23057934","-","MI0016755","hsa-mir-4419a","NA","1322577"
"15","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000204160","ZDHHC18","OTTHUMT00000381797","26832004-26853963","+","ENSE00002180602, ENSE00003534074, ENSE00001462582, ENSE00001462580, ENSE00001462573, ENSE00003657240, ENSE00001462576, ENSE00001462575","8","NA","NA","1296110-1296129","-","MIMAT0027354","hsa-miR-6726-3p","MI0022571","1322577"
"16","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000117308","GALE","OTTHUMT00000008239","23797094-23799570","-","ENSE00001674567, ENSE00003598794, ENSE00003677372, ENSE00003630984, ENSE00003585254, ENSE00001743754","6","UDP-galactose-4-epimerase","Seizures,Inborn Errors of Metabolism,UDPglucose 4-epimerase deficiency disease,Galactosemias,Classical galactosemia","1167104-1167198","+","MI0000342","hsa-mir-200b","NA","1322577"
"17","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000117602","RCAN3","OTTHUMT00000009177","24507567-24535357","+","ENSE00001728868, ENSE00003569573, ENSE00000759681, ENSE00003762095, ENSE00003766919","5","RCAN family member 3","Tumor Angiogenesis,Breast Cancer Model,Chronic Lymphocytic Leukemia,Adenocarcinoma,Malignant neoplasm of breast,Breast Carcinoma","9967381-9967458","+","MI0019304","hsa-mir-5697","NA","1322577"
"18","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000158006","PAFAH2","OTTHUMT00000019548","25983956-25997621","-","ENSE00001618578, ENSE00003558677, ENSE00001036467, ENSE00001036474, ENSE00003546004, ENSE00001678410","6","platelet-activating factor acetylhydrolase 2, 40kDa","Coronary Artery Disease","1169055-1169076","+","MIMAT0001536","hsa-miR-429","MI0001641","1322577"
"19","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000117640","MTFR1L","OTTHUMT00000019325","25818640-25829514","+","ENSE00001603301, ENSE00003525974, ENSE00003669332, ENSE00003586663, ENSE00003509127, ENSE00001772041","6","NA","NA","17409-17431","-","MIMAT0027618","hsa-miR-6859-5p","MI0022705","1322577"
"20","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000116138","DNAJC16","OTTHUMT00000006768","15526813-15576092","+","ENSE00001468609, ENSE00002151398, ENSE00001186128, ENSE00001186145, ENSE00000750460, ENSE00000750461, ENSE00000750462, ENSE00000750463, ENSE00003465851, ENSE00003690657, ENSE00003660497, ENSE000036114","15","NA","NA","1167916-1167937","+","MIMAT0000682","hsa-miR-200a-3p","MI0000737","1322577"
"21","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000083444","PLOD1","OTTHUMT00000006869","11934694-11952691","+","ENSE00001664195, ENSE00001470373, ENSE00003625358, ENSE00003680847, ENSE00003527107, ENSE00001718995","6","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1","Nevo syndrome (disorder),Hypertensive disease,Rieger syndrome,Axenfeld-Rieger syndrome,Rieger eye malformation sequence,Connective Tissue Diseases,Kyphosis deformity of spine,Ehlers-Danlos syndrome type 6,Malignant neoplasm of ovary,Liver carcinoma,Hypothyroidism,AORTIC VALVE DISEASE 2,genetic hypertension,Neoplasm Metastasis,Ehlers-Danlos Syndrome,Bicuspid aortic valve,Osteoporosis","1339682-1339703","-","MIMAT0027516","hsa-miR-6808-5p","MI0022653","1322577"
"22","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000117676","RPS6KA1","OTTHUMT00000390851","26531218-26574431","+","ENSE00002192529, ENSE00003474922, ENSE00003576123, ENSE00003560372, ENSE00003630393, ENSE00003562371, ENSE00003557941, ENSE00003788383, ENSE00003563498, ENSE00003499674, ENSE00003507729, ENSE000034704","22","ribosomal protein S6 kinase, 90kDa, polypeptide 1","Squamous cell carcinoma,Arteriosclerosis,Prostate carcinoma,Mammary Neoplasms,Hepatocarcinogenesis,Triple Negative Breast Neoplasms,Neoplasm Metastasis,Malignant neoplasm of breast,Breast Carcinoma,melanoma,Malignant neoplasm of prostate,Carcinoma of lung,Atherosclerosis,Malignant neoplasm of lung,Virus Diseases,Ovarian Carcinoma,Tumor Progression,Sezary Syndrome,Malignant tumor of colon,Carcinogenesis,Diabetes Mellitus,Rectal Neoplasms,Malignant neoplasm of ovary,Colonic Neoplasms,Colon Carcinoma,Rectal Carcinoma","1296145-1296165","-","MIMAT0027353","hsa-miR-6726-5p","MI0022571","1322577"
"23","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000162430","SELENON","OTTHUMT00000019315","25800193-25818221","+","ENSE00001399175, ENSE00001508530, ENSE00001508528, ENSE00001508527, ENSE00001508526, ENSE00001508525, ENSE00001508524, ENSE00003613171, ENSE00001508522, ENSE00003605352, ENSE00003605355, ENSE000014631","12","NA","NA","25906362-25906454","-","MI0016423","hsa-mir-3917","NA","1322577"
"24","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000180758","GPR157","OTTHUMT00000004906","9104532-9111370","-","ENSE00001845398, ENSE00001837559","2","NA","NA","3127975-3128035","+","MI0015861","hsa-mir-4251","NA","1322577"
"25","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000117748","RPA2","OTTHUMT00000011182","27892073-27914513","-","ENSE00001818116, ENSE00000761801, ENSE00000761799, ENSE00003785392, ENSE00000761795, ENSE00000956217, ENSE00000956216, ENSE00001232131","8","replication protein A2, 32kDa","Malignant neoplasm of breast,leukemia,Carcinogenesis,Malignant neoplasm of female breast,Multiple Endocrine Neoplasia,Mammary Ductal Carcinoma,Female Breast Carcinoma,Ductal Breast Carcinoma,Multiple Sclerosis,Malignant neoplasm of urinary bladder,Alcoholic Intoxication, Chronic,Breast Carcinoma","12578957-12579023","-","MI0022575","hsa-mir-6730","NA","1322577"
"26","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000107404","DVL1","OTTHUMT00000487901","1337023-1340052","-","ENSE00003777378, ENSE00001637986, ENSE00001713781, ENSE00001604958, ENSE00001637956, ENSE00001224879, ENSE00001784308, ENSE00003776257","8","dishevelled segment polarity protein 1","Squamous cell carcinoma,Robinow Syndrome,Congenital Abnormality,CADASIL Syndrome,Adenocarcinoma,Neoplasm Metastasis,Non-Small Cell Lung Carcinoma,Lung Neoplasms,Malignant neoplasm of breast,Malignant neoplasm of lung,Meckel-Gruber syndrome,Myocardial Infarction,Ovarian Carcinoma,Ischemic stroke,Cerebrovascular accident,Tumor Progression,Chronic interstitial nephritis,Chordoma,Carcinogenesis,Prostatic Neoplasms,Familial aplasia of the vermis,Cyst,Meckel syndrome type 1,Duane Retraction Syndrome,Malignant neoplasm of ovary,Squamous Cell Neoplasms,Carcinoma of lung","25023552-25023573","+","MIMAT0018940","hsa-miR-4425","MI0016764","1322577"
"27","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000116731","PRDM2","OTTHUMT00000021946","13771726-13778463","+","ENSE00001910613, ENSE00003649889, ENSE00001869842","3","PR domain containing 2, with ZNF domain","Squamous cell carcinoma,Psychoses, Substance-Induced,Malignant neoplasm of stomach,Bladder Neoplasm,Meningioma,Thyroid carcinoma,Malignant neoplasm of lung,Adult Acute Lymphocytic Leukemia,Nasopharyngeal carcinoma,Adenocarcinoma,MYELODYSPLASTIC SYNDROME,Retinoblastoma,Neoplasm Metastasis,Lung Neoplasms,Breast Carcinoma,Colorectal Cancer,Stomach Neoplasms,Pheochromocytoma,Nephroblastoma,melanoma,Parathyroid Neoplasms,Neuroblastoma,Malignant neoplasm of breast,Osteoporosis, Postmenopausal,Myeloid Leukemia, Chronic,Renal Cell Carcinoma,Ganglioneuroma,Acute lymphocytic leukemia,Amphetamine-Related Disorders,Prolactinoma,Carcinogenesis,Treatment related leukaemia,Alzheimer's Disease,Liver carcinoma,Prostate carcinoma,Central neuroblastoma,B-Cell Lymphomas,Paraganglioma,Solid tumour,Recurrent tumor,Malignant neoplasm of prostate,leukemia,Medulloblastoma,Malignant Meningioma,Multiple polyps,Leukemia, Myelocytic, Acute,Colorectal Carcinoma,Parkinson Disease,Stomach Carcinoma,Preleukemia,Benign","187891-187913","-","MIMAT00276191","hsa-miR-6859-3p","MI0026420","1322577"
"28","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000235098","ANKRD65","OTTHUMT00000008132","1419138-1421260","-","ENSE00001641431, ENSE00001782757","2","NA","NA","3560695-3560790","-","MI0003556","hsa-mir-551a","NA","1322577"
"29","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000187144","SPATA21","OTTHUMT00000355657","16387117-16403974","-","ENSE00001836384, ENSE00003622122, ENSE00003583615, ENSE00003652032, ENSE00001822786","5","spermatogenesis associated 21","Polycystic Ovary Syndrome,Liver neoplasms","1312502-1312521","-","MIMAT0027356","hsa-miR-6727-3p","MI0022572","1322577"
"30","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000041988","THAP3","OTTHUMT00000004207","6625230-6633051","+","ENSE00001868761, ENSE00003406981, ENSE00003477092, ENSE00001933780","4","THAP domain containing, apoptosis associated protein 3","Polycystic Ovary Syndrome","6429844-6429862","-","MIMAT0016886","hsa-miR-4252","MI0015864","1322577"
"31","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000187634","SAMD11","OTTHUMT00000316521","923928-939291","+","ENSE00001637883, ENSE00003794726, ENSE00002727207, ENSE00002696520, ENSE00002703998, ENSE00002686739, ENSE00001608769","7","NA","NA","1167124-1167145","+","MIMAT0004571","hsa-miR-200b-5p","MI0000342","1322577"
"32","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000060642","PIGV","OTTHUMT00000011703","26788098-26794396","+","ENSE00001694565, ENSE00003476293, ENSE00001780863","3","phosphatidylinositol glycan anchor biosynthesis, class V","Hirschsprung Disease,Seizures,Vitamin B 6 Deficiency,Congenital Abnormality,Congenital malformation syndrome,Congenital anomaly of the kidney,Intellectual Disability,Hyperphosphatasia with Mental Retardation,ALKALINE PHOSPHATASE, PLASMA LEVEL OF, QUANTITATIVE TRAIT LOCUS 1,Hirschsprung disease 1,Mental Retardation","187931-187953","-","MIMAT00276181","hsa-miR-6859-5p","MI0026420","1322577"
"33","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000173372","C1QA","OTTHUMT00000096526","22636762-22639331","+","ENSE00001666127, ENSE00002696914, ENSE00001636247","3","complement component 1, q subcomponent, A chain","IGA Glomerulonephritis,Lupus Erythematosus, Systemic,Amyloid Neuropathies, Familial,Diffuse Large B-Cell Lymphoma,Iron deficiency anemia,PHOTOPAROXYSMAL RESPONSE 1,Neoplasm Metastasis,Malignant neoplasm of breast,Exanthema,Lupus Erythematosus, Discoid,Lupus Nephritis,C1q DEFICIENCY,Mammary Neoplasms,Breast Carcinoma,B-Cell Lymphomas,Glaucoma,Lupus Vulgaris,Glomerulonephritis, Membranoproliferative,Lupus Erythematosus, Cutaneous,Lymphoma, Follicular,Nephritis,Lupus Erythematosus,Immune Complex Diseases","8866563-8866585","-","MIMAT0027357","hsa-miR-6728-5p","MI0022573","1322577"
"34","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000282872","RP11","OTTHUMT00000488759","26164161-26168581","-","ENSE00003786111, ENSE00003789368, ENSE00003789814, ENSE00003789965","4","NA","NA","17277948-17277969","+","MIMAT0019357","hsa-miR-3972","MI0016990","1322577"
"35","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000157191","NECAP2","OTTHUMT00000368124","16440721-16459008","+","ENSE00002073697, ENSE00003497337, ENSE00003460799, ENSE00003603219, ENSE00003551458, ENSE00003586690","6","NECAP endocytosis associated 2","Malignant neoplasm of breast,Breast Carcinoma","12167010-12167030","+","MIMAT0030421","hsa-miR-7846-3p","MI0025516","1322577"
"36","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000127483","HP1BP3","OTTHUMT00000007462","20757199-20787312","-","ENSE00001767516, ENSE00001279286, ENSE00001465477, ENSE00001211353, ENSE00001465489, ENSE00001279326, ENSE00003682895, ENSE00001649722","8","heterochromatin protein 1, binding protein 3","Tobacco Use Disorder,Tumor Progression,Schizophrenia,Carcinogenesis,Depression, Postpartum","12191713-12191735","+","MIMAT0022977","hsa-miR-4632-5p","MI0017259","1322577"
"37","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000142657","PGD","OTTHUMT00000005404","10399112-10417509","+","ENSE00001952258, ENSE00003560207, ENSE00003787396, ENSE00003788764, ENSE00003623710, ENSE00003790627","6","phosphogluconate dehydrogenase","Squamous cell carcinoma,Fragile X Syndrome,Asthma,Streak gonad,Paresis,Adenocarcinoma,Malignant neoplasm of esophagus,Myotonic Dystrophy,Hepatitis B, Chronic,Sickle cell-beta-thalassemia,Malaria,Congenital chromosomal disease,Disorder characterized by eosinophilia,Down Syndrome,Cervix carcinoma,Squamous cell carcinoma of esophagus,Esophageal Neoplasms,Liver carcinoma,Eosinophilic disorder,IMMUNE SUPPRESSION,Disorder of endocrine ovary,Thalassemia,Neurofibromatosis 1,Esophageal carcinoma,Eosinophilia,Cooley's anemia,Congenital Myotonic Dystrophy,Meckel syndrome type 3,Polycystic Kidney, Autosomal Dominant,Leishmaniasis, Cutaneous,Optic Atrophy, Hereditary, Leber,Azoospermia,Cancer Cell Growth,Muscle Weakness,Malignant tumor of cervix,Liver neoplasms","24919345-24919365","-","MIMAT0027364","hsa-miR-6731-3p","MI0022576","1322577"
"38","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000189337","KAZN","OTTHUMT00000489915","13892792-14304663","+","ENSE00003793480, ENSE00003793830, ENSE00003793246","3","kazrin, periplakin interacting protein","Blood pressure finding,Papillary thyroid carcinoma,Systemic arterial pressure,Thyroid Neoplasm,Tobacco Use Disorder,Neoplasm Metastasis","23044305-23044372","+","MI0014127","hsa-mir-3115","NA","1322577"
"39","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000127054","CPSF3L","OTTHUMT00000009366","1311606-1324637","-","ENSE00003465286, ENSE00003580641, ENSE00003524405, ENSE00003642378, ENSE00003493216, ENSE00003480282, ENSE00003521162, ENSE00003692932, ENSE00001847435, ENSE00003464675, ENSE00003620245, ENSE000034936","14","cleavage and polyadenylation specific factor 3-like","Erythropoietic Protoporphyria,Presenile dementia,Dementia,Inflammatory Bowel Diseases,Mild cognitive disorder","20988377-20988398","-","MIMAT0005907","hsa-miR-1256","MI0006390","1322577"
"40","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000215915","ATAD3C","OTTHUMT00000099686","1449914-1455902","+","ENSE00001813046, ENSE00001907803, ENSE00001738634, ENSE00001678337, ENSE00001654495, ENSE00001859235","6","ATPase family, AAA domain containing 3C","Adenocarcinoma of lung (disorder),Glioblastoma","9967390-9967411","+","MIMAT0022490","hsa-miR-5697","MI0019304","1322577"
"41","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000169641","LUZP1","OTTHUMT00000008899","23090427-23168817","-","ENSE00001464028, ENSE00001272104, ENSE00001464030","3","NA","NA","5564082-5564099","+","MIMAT0018929","hsa-miR-4417","MI0016753","1322577"
"42","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000157916","RER1","OTTHUMT00000100284","2391828-2402325","+","ENSE00001477811, ENSE00001035864, ENSE00001035875, ENSE00003585625, ENSE00001477807","5","retention in endoplasmic reticulum sorting receptor 1","Metabolic Syndrome X,Charcot-Marie-Tooth Disease, Type Ia (disorder),Charcot-Marie-Tooth Disease","30366-30503","+","MI0006363","hsa-mir-1302-2","NA","1322577"
"43","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000175206","NPPA","OTTHUMT00000006853","11845879-11848345","-","ENSE00001470646, ENSE00003693621, ENSE00001470647","3","natriuretic peptide A","Patent ductus arteriosus,Paroxysmal atrial fibrillation,Diabetic Nephropathy,Cerebral Palsy,ovarian neoplasm,Fetal Membranes, Premature Rupture,Amyotrophic Lateral Sclerosis,Cardiovascular Diseases,Coronary Stenosis,Infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified,Myocardial Infarction,Hepatopulmonary Syndrome,Senile dementia,Hereditary persistence of fetal hemoglobin thalassemia,Hypotension,Rheumatoid Arthritis,Atrial Fibrillation,Prostatic Neoplasms,Atrial dilatation,Hereditary Melanoma,Neurodegenerative Disorders,Obesity,Anoxia,Kidney Failure, Chronic,Blood pressure finding,Albuminuria,Cerebrovascular Disorders,Skin Neoplasms,Diabetic Cardiomyopathies,Right Ventricular Hypertrophy,Ureteral obstruction,Ischemic Cerebrovascular Accident,Lung Neoplasms,Microvascular Angina,Neuroblastoma,Diabetes Mellitus, Insulin-Dependent,Diaphragmatic Hernia,Alzheimer's Disease,Hypertrophic Cardiomyopathy,Central neuroblastoma,Left Ventricular","187891-187958","-","MI0026420","hsa-mir-6859-2","NA","1322577"
"44","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000157881","PANK4","OTTHUMT00000366428","2508537-2526596","-","ENSE00001636510, ENSE00003666246, ENSE00003585117, ENSE00001035659, ENSE00003614294, ENSE00003510608, ENSE00001035684, ENSE00001035671, ENSE00001035673, ENSE00001035670, ENSE00001035666, ENSE000010356","19","pantothenate kinase 4","Diabetes Mellitus, Non-Insulin-Dependent","22863159-22863226","-","MI0015860","hsa-mir-4253","NA","1322577"
